file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
001_Genesis_id_1_Sensor_tr_4055_1st_15538.csv,43.67504119873047,0.0024496450984322405,0.4008039579468151,0.005878897268949831,0.4750308462629777,0.008197311591820208,0.00859697386519945,0.008078196946441546,0.0074531710910665724,0.7078005913862002
002_MSL_id_1_Sensor_tr_500_1st_900.csv,4.54306697845459,0.0060207991242474,0.5,0.035155555499457994,0.5074757190717734,0.011969413122318964,0.0,0.0,0.0,0.0
003_MSL_id_2_Sensor_tr_883_1st_1238.csv,10.15201187133789,0.0644978783592645,0.5,0.07389809997942541,0.5025295792553888,0.12117877128100857,0.0,0.0,0.0,0.0
005_MSL_id_4_Sensor_tr_855_1st_2700.csv,8.734863996505737,0.020748100526008183,0.5,0.04927467102971018,0.5074281575184003,0.04065233577929277,0.0,0.0,0.0,0.0
006_MSL_id_5_Sensor_tr_1150_1st_1250.csv,14.10598111152649,0.08369608231104075,0.5,0.08564481578922124,0.5005325471604815,0.1544626973626575,0.0,0.0,0.0,0.0
007_MSL_id_6_Sensor_tr_980_1st_3550.csv,11.050511121749878,0.038500764915859256,0.5,0.06690674716218122,0.5075353597489559,0.07414610655283599,0.0,0.0,0.0,0.0
008_MSL_id_7_Sensor_tr_656_1st_1630.csv,6.5805463790893555,0.08457142857142858,0.5,0.1429825174621104,0.5166641399301335,0.15595219749027606,0.0,0.0,0.0,0.0
009_MSL_id_8_Sensor_tr_714_1st_1390.csv,7.340011835098267,0.007352941176470588,0.5,0.02599061621061267,0.504754131548878,0.01459839522760942,0.0,0.0,0.0,0.0
010_MSL_id_9_Sensor_tr_554_1st_1172.csv,5.714129447937012,0.03112313937753721,0.5,0.04444503077377958,0.5034698753876434,0.06036686862052609,0.0,0.0,0.0,0.0
012_MSL_id_11_Sensor_tr_539_1st_940.csv,72.14089059829712,0.14792020089062338,0.7659560116595601,0.3607396981561831,0.9253243578147405,0.3939351462349663,0.5626740947075209,0.4406779661016945,0.1202987639632494,0.9323935617955684
013_MSL_id_12_Sensor_tr_554_1st_1200.csv,5.598899841308594,0.011722272317403066,0.5,0.035721009872637405,0.506171973227622,0.023172676483973077,0.0,0.0,0.0,0.0
014_MSL_id_13_Sensor_tr_1525_1st_4575.csv,16.836458206176758,0.029672131147540984,0.5,0.03839822949139505,0.5022619413745188,0.0576335749644845,0.0,0.0,0.0,0.0
015_MSL_id_14_Sensor_tr_575_1st_1250.csv,6.045313835144043,0.13069908814589665,0.5,0.1332398016290921,0.5007322251474161,0.2311807511164753,0.0,0.0,0.0,0.0
016_MSL_id_15_Sensor_tr_500_1st_780.csv,1.5682001113891602,0.10218978102189781,0.5,0.10818059549800738,0.501676712291757,0.1854287812090711,0.0,0.0,0.0,0.0
017_MSL_id_16_Sensor_tr_512_1st_1850.csv,5.1406285762786865,0.08833577354807223,0.5,0.10816534492514776,0.5055120885158731,0.16233034701847066,0.0,0.0,0.0,0.0
