file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
001_Genesis_id_1_Sensor_tr_4055_1st_15538.csv,33.94909048080444,0.002595439374736032,0.43020284477427334,0.005909131273941374,0.549986727394557,0.00873735293828158,0.010779249943858073,0.008633600563826966,0.00750499564577113,0.7142908149726445
002_MSL_id_1_Sensor_tr_500_1st_900.csv,4.799630880355835,0.0060207991242474,0.5,0.035155555499457994,0.5074757190717734,0.011969413122318964,0.0,0.0,0.0,0.0
003_MSL_id_2_Sensor_tr_883_1st_1238.csv,8.0626540184021,0.0644978783592645,0.5,0.07389809997942541,0.5025295792553888,0.12117877128100857,0.0,0.0,0.0,0.0
005_MSL_id_4_Sensor_tr_855_1st_2700.csv,13.535701036453247,0.020748100526008183,0.5,0.04927467102971018,0.5074281575184003,0.04065233577929277,0.0,0.0,0.0,0.0
006_MSL_id_5_Sensor_tr_1150_1st_1250.csv,12.137037992477417,0.08369608231104075,0.5,0.08564481578922124,0.5005325471604815,0.1544626973626575,0.0,0.0,0.0,0.0
007_MSL_id_6_Sensor_tr_980_1st_3550.csv,17.111719369888306,0.038500764915859256,0.5,0.06690674716218122,0.5075353597489559,0.07414610655283599,0.0,0.0,0.0,0.0
008_MSL_id_7_Sensor_tr_656_1st_1630.csv,8.71807336807251,0.06273432582791268,0.37131700989378896,0.09604824445418673,0.42335568393879736,0.17759838172354572,0.28693790149892934,0.17507886435331213,0.16738356948183977,0.6776808718380414
009_MSL_id_8_Sensor_tr_714_1st_1390.csv,8.593638181686401,0.007352941176470588,0.5,0.02599061621061267,0.504754131548878,0.01459839522760942,0.0,0.0,0.0,0.0
010_MSL_id_9_Sensor_tr_554_1st_1172.csv,4.970564603805542,0.03112313937753721,0.5,0.04444503077377958,0.5034698753876434,0.06036686862052609,0.0,0.0,0.0,0.0
012_MSL_id_11_Sensor_tr_539_1st_940.csv,9.716750621795654,0.20760387529734922,0.8319505673195058,0.42556067454237767,0.9465162595026536,0.5016242494208157,0.645367412140575,0.536585365853658,0.19418707957862674,0.8651815629830933
013_MSL_id_12_Sensor_tr_554_1st_1200.csv,6.191444635391235,0.011722272317403066,0.5,0.03572100987263741,0.506171973227622,0.023172676483973077,0.0,0.0,0.0,0.0
014_MSL_id_13_Sensor_tr_1525_1st_4575.csv,23.404133796691895,0.0351388079984469,0.580165568508194,0.04135757970002916,0.5817408405895694,0.06789131712645438,0.06461977865048198,0.0646197786504819,0.05484017573094986,0.6801620170178548
015_MSL_id_14_Sensor_tr_575_1st_1250.csv,3.650723934173584,0.13069908814589665,0.5,0.1332398016290921,0.5007322251474161,0.2311807511164753,0.0,0.0,0.0,0.0
016_MSL_id_15_Sensor_tr_500_1st_780.csv,1.4267096519470215,0.35077681540282113,0.8968087616144018,0.37912390419333464,0.9056648247291328,0.549516171072129,0.5925925925925926,0.5549132947976875,0.2575701392961769,0.8811755814653522
017_MSL_id_16_Sensor_tr_512_1st_1850.csv,5.405618190765381,0.08833577354807223,0.5,0.10816534492514776,0.5055120885158731,0.16233034701847066,0.0,0.0,0.0,0.0
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,83.68710088729858,0.033045648158927375,0.10366990233260379,0.03739650565977484,0.09447444257695091,0.11586487091030294,0.12311799252536039,0.11576745709749754,0.6155056597890536,0.8713571138820538
019_MITDB_id_1_Medical_tr_37500_1st_103211.csv,222.72753477096558,0.11521831680515418,0.4915579731764023,0.11617358254997034,0.49343654549468985,0.2329373243324357,0.9473389498332867,0.23244017803928507,0.1675068303648813,0.6830508651677716
